clf,test_logloss,val_logloss,test_auc,val_auc,downsample,n_per_class,smote,weighted_train
xgboost,0.6353038831565871,0.7067025087353085,0.6983048023276006,0.6983048023276006,False,10000,False,False
decision tree,0.7099997054223935,0.721054556962506,0.6702767297014274,0.6702767297014274,False,10000,False,False
xgboost,1.0253551333852229,1.0798937055867333,0.7175824168438745,0.7175824168438745,False,10000,False,True
decision tree,0.7099997054223935,0.721054556962506,0.6702767297014274,0.6702767297014274,False,10000,False,True
xgboost,0.9655574288216972,1.0307629332841888,0.7098874385497997,0.7098874385497997,True,20000,False,True
decision tree,0.7906228535221765,0.8231789458268935,0.6850002926842058,0.6850002926842058,True,20000,False,True
xgboost,0.696912835588403,1.0902843674795604,0.6934140444775448,0.6934140444775448,False,20000,True,False
decision tree,0.9023426950534518,0.9052521041440622,0.6703599953502415,0.6703599953502415,False,20000,True,False
xgboost,1.0589193787259823,0.8659194684103482,0.6767663950241943,0.6767663950241943,True,20000,True,False
decision tree,0.9381586742861876,0.9405228233741386,0.677600306258447,0.677600306258447,True,20000,True,False
xgboost,0.6353038831565871,0.7067025087353085,0.6983048023276006,0.6983048023276006,False,20000,False,False
decision tree,0.7099997054223935,0.721054556962506,0.6702767297014274,0.6702767297014274,False,20000,False,False
